case_id,source_id,source_type,support_role,source_supports,source_does_not_establish
CF-013B,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-014A,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,system_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-014A,SRC-BENCH-EXTRAPOLATION,benchmark_design,system_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-014B,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,system_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-014B,SRC-BENCH-EXTRAPOLATION,benchmark_design,system_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-015A,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-015B,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-016A,SRC-SAKR-2026-DT,peer_reviewed_governance,transportability_biology_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-016A,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,transportability_biology_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-016B,SRC-SAKR-2026-DT,peer_reviewed_governance,transportability_biology_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-016B,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,transportability_biology_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-017A,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,dataset_transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-017A,SRC-SAKR-2026-DT,peer_reviewed_governance,dataset_transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-017B,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,dataset_transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-017B,SRC-SAKR-2026-DT,peer_reviewed_governance,dataset_transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-018A,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,dataset_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-018B,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,dataset_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-019A,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-019A,SRC-BENCH-EXTRAPOLATION,benchmark_design,governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-019B,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-019B,SRC-BENCH-EXTRAPOLATION,benchmark_design,governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-020A,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,direct_biological_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-020A,SRC-ZHAO-2026-SCOPE,preprint_method,direct_biological_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-020B,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,direct_biological_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-020B,SRC-ZHAO-2026-SCOPE,preprint_method,direct_biological_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
